"filename", "language", "SCSS", "CSS", "HTML", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/gubi-donzelli.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/hermanmiller-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/knoll-donzelli.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/ligneroset-donzelli.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 1, 16
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/moooi-donzelli.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/muuto-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/poltrona-frau-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/rochebobois-donzelli.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/brands-home-swiper/vitra-donzelli.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/collabs-accordion-studiopro.svg", "XML", 0, 0, 0, 0, 25, 0, 0, 1, 26
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/conciergerie-accordion-studiopro.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/inspiration-platform-accordion-studiopro.svg", "XML", 0, 0, 0, 0, 26, 0, 0, 1, 27
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-back-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-back.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/benefit-arrow-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/blockchain-icon-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/collabs-partnerships-icon-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/conciergerie-brandgrowth-icon-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/cross-white.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/feed.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/inspiration-platform-icon-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-black.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-studio-pro-white.svg", "XML", 0, 0, 0, 0, 23, 0, 0, 1, 24
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-white-loader.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 1, 28
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-donzelli-white.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/logo-inline-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/map-offices-donzelli.svg", "XML", 0, 0, 0, 0, 75, 0, 0, 1, 76
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/moins-icon-grey.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/moins-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon-grey.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/plus-icon.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/tailormade-projects-icon-studiopro-donzelli.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 1, 8
